species	contig_n50	scaffold_n50	total_length	status	ass_accession	ass_release_date
Acyrthosiphon pisum	25858	132544852	541137574	Chromosome	GCF_005508785.1	2019/05/20
Timema douglasi	25777	96339	1123070144	Scaffold	GCA_901482245.1	2019/06/12
Dysdera silvatica	25709	38017	1359266291	Scaffold	GCA_006491805.1	2019/07/01
Leptidea sinapis	25575	857189	642750272	Scaffold	GCA_900199415.2	2019/08/29
Drosophila suzukii	24954	388966	232923092	Scaffold	GCF_000472105.1	2013/09/30
Frankliniella occidentalis	24913	438040	274989634	Scaffold	GCF_000697945.2	2018/08/28
Drosophila leontia	24887	25943	164601511	Scaffold	GCA_008042735.1	2019/08/21
Strigamia maritima	24745	139451	176210797	Scaffold	GCA_000239455.1	2011/12/22
Apis florea	24704	2863240	230485475	Scaffold	GCF_000184785.2	2011/01/07
Anopheles coluzzii	24512	4437438	224417174	Scaffold	GCA_000150765.1	2010/10/08
Glossina palpalis	24489	575037	380104241	Scaffold	GCA_000818775.1	2015/01/15
Harmonia axyridis	24360	100341	581414070	Scaffold	GCA_003865295.1	2018/12/05
Ferrisia virgata	24304	25373	304570832	Scaffold	GCA_900060175.1	2016/03/29
Formica exsecta	24299	997654	277633851	Scaffold	GCF_003651465.1	2018/10/15
Limnephilus lunatus	24277	69049	1369180260	Scaffold	GCA_000648945.2	2017/11/03
Harmonia axyridis	23772	57217	510551820	Scaffold	GCA_003865275.1	2018/12/05
Nasutitermes exitiosus	23721	23721	5237693	Contig	GCA_001404035.1	2015/10/22
Nilaparvata lugens	23518	356597	1140803929	Scaffold	GCF_000757685.1	2014/09/24
Helicoverpa armigera	23474	1000414	337087553	Scaffold	GCF_002156985.1	2017/05/24
Aphaenogaster floridana	23448	439114	382861007	Scaffold	GCA_003063835.1	2018/04/23
Ceratina calcarata	23399	632424	199936949	Scaffold	GCF_001652005.1	2016/05/25
Drosophila subobscura	23296	91130	117291146	Scaffold	GCA_002749795.1	2017/11/03
Pardosa pseudoannulata	23226	711396	4207954893	Scaffold	GCA_008065355.1	2019/08/22
Ormyrus nitidulus	22971	22984	259885974	Scaffold	GCA_900474335.1	2018/07/06
Zootermopsis nevadensis	22794	751105	485024916	Scaffold	GCF_000696155.1	2014/06/05
Drosophila americana	22571	22571	160223033	Contig	GCA_900465395.1	2019/07/29
Galleria mellonella	22549	8485610	401085026	Scaffold	GCF_003640425.1	2018/10/12
Habropoda laboriosa	22370	1784116	296954667	Scaffold	GCF_001263275.1	2015/08/13
Monomorium pharaonis	21806	75377	257976923	Scaffold	GCF_000980195.1	2015/05/29
Aphaenogaster ashmeadi	21672	336807	310333780	Scaffold	GCA_003063805.1	2018/04/23
Spodoptera frugiperda	21390	52317	436269483	Scaffold	GCA_900240015.1	2018/01/12
Coccinella septempunctata	21314	67752	514957465	Scaffold	GCA_003568925.1	2018/09/13
Monomorium pharaonis	21277	15645999	259040147	Scaffold	GCF_003260585.2	2019/02/13
Solenopsis invicta	21161	621039	398994629	Scaffold	GCF_000188075.2	2018/08/01
Apis cerana	21160	1393515	228791026	Scaffold	GCA_002290385.1	2017/09/13
Timema bartmani	21089	104800	1108645000	Scaffold	GCA_902151455.1	2019/07/12
Anopheles bwambae	20985	24617	288964812	Scaffold	GCA_007018985.1	2019/07/16
Timema cristinae	20744	112671	1177599484	Scaffold	GCA_902151435.1	2019/07/12
Aphaenogaster miamiana	20738	351517	342642954	Scaffold	GCA_003063725.1	2018/04/23
Drosophila triauraria	20733	21569	197369186	Scaffold	GCA_008044375.1	2019/08/21
Tuta absoluta	20713	97121	906539853	Scaffold	GCA_004799115.1	2019/04/17
Helicoverpa zea	20602	201477	341147348	Scaffold	GCA_002150865.1	2017/06/02
Drosophila persimilis	20311	1869541	188374079	Scaffold	GCF_000005195.2	2011/05/02
Heliothis virescens	19807	102124	403154403	Scaffold	GCA_002382865.1	2017/09/27
Camponotus floridanus	19487	451320	232685334	Scaffold	GCF_000147175.1	2010/10/01
Drosophila rhopaloa	19484	45514	197375704	Scaffold	GCF_000236305.1	2013/03/06
Oryzaephilus surinamensis	19466	21917	104008747	Scaffold	GCA_004796505.1	2019/04/16
Rhagoletis zephyria	19348	62643	1113962544	Scaffold	GCF_001687245.1	2016/07/19
Sarcophaga bullata	19090	55527	476287247	Scaffold	GCA_005959815.1	2019/06/04
Aphaenogaster rudis	18941	269776	429703865	Scaffold	GCA_003063745.1	2018/04/23
Nasonia vitripennis	18840	708988	295780872	Chromosome	GCF_000002325.3	2012/11/28
Calephelis nemesis	18819	206312	808524533	Scaffold	GCA_002245505.1	2017/08/10
Anopheles fontenillei	18769	20292	232632941	Scaffold	GCA_008817895.1	2019/10/03
Drosophila robusta	18538	26818	179073841	Scaffold	GCA_004143805.1	2019/02/06
Plutella xylostella	18517	737182	393470562	Scaffold	GCF_000330985.1	2013/01/18
Aedes albopictus	18430	201017	1923476627	Scaffold	GCA_001444175.2	2016/02/22
Drosophila melanica	18202	28961	149951920	Scaffold	GCA_004143765.1	2019/02/06
Pachypsylla venusta	18168	102316	479982703	Scaffold	GCA_000695645.2	2017/12/19
Anopheles sinensis	17961	579086	375763635	Scaffold	GCA_000472065.2	2014/01/23
Eupelmus urozonus	17904	18995	376747980	Scaffold	GCA_900480035.1	2018/07/07
Timema californicum	17799	66553	1220418541	Scaffold	GCA_902141385.1	2019/07/12
Amyelois transitella	17697	1586980	406468287	Scaffold	GCF_001186105.1	2015/07/22
Zeugodacus cucurbitae	17360	1399015	374820345	Scaffold	GCF_000806345.1	2014/12/23
Dryococelus australis	17257	17257	3416447916	Contig	GCA_002236955.1	2017/07/28
Lasius niger	17048	17057	236236391	Scaffold	GCA_001045655.1	2015/07/02
Lasioglossum albipes	16944	628061	336521443	Scaffold	GCA_000346575.1	2013/03/21
Hexapoda sp.	16929	17347	99041005	Scaffold	GCA_002916965.1	2018/02/05
Calephelis virginiensis	16821	175106	855081797	Scaffold	GCA_002245475.1	2017/08/10
Lerema accius	16756	525349	298169737	Scaffold	GCA_001278395.1	2015/09/02
Lepeophtheirus salmonis	16673	16673	665129626	Contig	GCA_001005205.1	2015/05/08
Anopheles farauti No. 4	16229	16229	146379160	Contig	GCA_000956215.1	2015/03/19
Dinothrombium tinctorium	16055	16512	180399227	Scaffold	GCA_003675995.1	2018/10/23
Latrodectus hesperus	15961	39474	1233806489	Scaffold	GCA_000697925.2	2018/02/06
Lepidurus apus	15890	42769	87970075	Scaffold	GCA_003723985.1	2018/11/13
Neodiprion pinetum	15816	609994	269775091	Scaffold	GCA_004916985.1	2019/04/26
Aphaenogaster fulva	15753	255328	346134187	Scaffold	GCA_003063765.1	2018/04/23
Drosophila nigromelanica	15732	23593	155317739	Scaffold	GCA_004149465.1	2019/02/07
Aphaenogaster rudis	15622	300103	395412201	Scaffold	GCA_003063815.1	2018/04/23
Drosophila busckii	15578	19964	113095133	Scaffold	GCA_001014355.1	2015/05/28
Rhipicephalus microplus	15568	60268	2008371944	Scaffold	GCA_002176555.1	2017/06/08
Varroa destructor	15568	128078	331927360	Scaffold	GCA_000181155.2	2017/05/18
Bombyx mori	15510	4008358	481819406	Scaffold	GCF_000151625.1	2010/10/09
Lymantria dispar	15453	249594	864963299	Scaffold	GCA_004115105.1	2019/01/28
Aphaenogaster picea	15430	322984	386044929	Scaffold	GCA_003063865.1	2018/04/23
Atta colombica	15290	2037154	291257934	Scaffold	GCF_001594045.1	2016/03/25
Cataglyphis niger	15276	17950	295977620	Scaffold	GCA_004329405.1	2019/03/06
Drosophila arizonae	15132	26536676	141386800	Scaffold	GCF_001654025.1	2016/06/01
Drosophila simulans	15131	857818	137843219	Chromosome	GCF_000259055.1	2012/04/20
Timema cristinae	15124	8203476	931401240	Scaffold	GCA_002926335.1	2018/02/14
Trachymyrmex septentrionalis	14962	2520094	291747019	Scaffold	GCF_001594115.1	2016/03/25
Atta cephalotes	14798	5154485	317671980	Scaffold	GCF_000143395.1	2010/10/27
Cimex lectularius	14532	819725	697642684	Scaffold	GCA_001460545.1	2015/12/04
Daphnia magna	14466	10124675	122937721	Chromosome	GCA_003990815.1	2019/01/07
Anopheles aquasalis	14431	53365	162944031	Scaffold	GCA_002846955.1	2017/12/21
Glossosoma conforme	14418	16667	604293666	Scaffold	GCA_003347265.1	2018/07/31
Drosophila americana	14333	20926	163286826	Scaffold	GCA_001245395.1	2015/08/05
Microplitis demolitor	14116	1139389	241190213	Scaffold	GCF_000572035.2	2015/10/07
Mayetiola destructor	14032	756041	185827756	Scaffold	GCA_000149185.1	2010/10/19
Drosophila athabasca	13848	105563	130277606	Chromosome	GCA_003185025.1	2018/07/23
Solenopsis fugax	13777	14463	335323959	Scaffold	GCA_003595255.1	2018/09/25
Belgica antarctica	13687	98263	89583723	Scaffold	GCA_000775305.1	2014/11/11
Popillia japonica	13656	15169	531530429	Scaffold	GCA_004785975.1	2019/04/12
Melitaea cinxia	13489	119328	389907520	Scaffold	GCA_000716385.1	2014/07/09
Anopheles culicifacies	13414	22320	202998806	Scaffold	GCA_000473375.1	2013/10/21
Diuraphis noxia	13141	397774	395073589	Scaffold	GCF_001186385.1	2015/07/23
Lepeophtheirus salmonis	13050	13050	665311556	Contig	GCA_001005235.1	2015/05/08
Eurytoma brunniventris	12988	13596	321460311	Scaffold	GCA_900475205.1	2018/12/07
Megastigmus dorsalis	12960	18748	589959111	Scaffold	GCA_900490025.1	2018/07/07
Tropilaelaps mercedesae	12742	28859	352534912	Scaffold	GCA_002081605.1	2017/04/06
Triops cancriformis	12735	12735	109181683	Contig	GCA_000981345.1	2015/04/28
Melipona quadrifasciata	12520	1864352	256302695	Scaffold	GCA_001276565.1	2015/09/09
Drosophila melanogaster	12465	47263	117810628	Scaffold	GCA_001014345.1	2015/05/28
Drosophila miranda	12439	50131	131486098	Scaffold	GCA_001014365.1	2015/05/28
Euglossa dilemma	12398	143590	588199719	Scaffold	GCA_002201625.1	2017/06/20
Ceratina australensis	12363	145751	219302412	Scaffold	GCA_004307685.1	2019/02/27
Timema poppensis	12322	39561	1137318704	Scaffold	GCA_902141375.1	2019/07/12
Papilio glaucus	12225	230841	374815656	Scaffold	GCA_000931545.1	2015/02/23
Aleochara bilineata	12135	54149	85899700	Scaffold	GCA_003054995.1	2018/04/17
Blattella germanica	12126	1056071	2037297555	Scaffold	GCA_003018175.1	2018/03/26
Cataglyphis hispanica	11959	13064	198942706	Scaffold	GCA_004195275.1	2019/02/15
Papilio memnon	11857	5456730	232544191	Scaffold	GCA_003118335.3	2018/12/26
Musca domestica	11807	226573	750403944	Scaffold	GCF_000371365.1	2013/04/30
Calycopis cecrops	11646	233537	728788927	Scaffold	GCA_001625245.1	2016/04/21
Pogonomyrmex barbatus	11605	819605	235645958	Scaffold	GCF_000187915.1	2011/02/04
Bombyx mori	11516	26940	397686861	Scaffold	GCA_000151715.1	2010/10/09
Pararge aegeria	11442	16525	501694711	Scaffold	GCA_900499025.1	2018/08/08
Limulus polyphemus	11441	254089	1828271751	Scaffold	GCF_000517525.1	2014/01/13
Anopheles melas	11312	18103	224162116	Scaffold	GCA_000473525.2	2014/01/28
Stomoxys calcitrans	11309	504651	971188624	Scaffold	GCF_001015335.1	2015/05/31
Sarcoptes scabiei	11197	11557	56262437	Scaffold	GCA_000828355.1	2015/02/10
Oncopeltus fasciatus	11156	370203	1099611736	Scaffold	GCA_000696205.2	2018/05/02
Gerris buenoi	10917	412278	994443371	Scaffold	GCA_001010745.2	2018/02/14
Ostrinia nubilalis	10587	392514	454916002	Scaffold	GCA_008921685.1	2019/10/08
Lucilia cuprina	10570	809518	434128924	Scaffold	GCA_001187945.1	2015/07/28
Parhyale hawaiensis	10438	20228728	2752560740	Scaffold	GCA_001587735.2	2018/06/22
Anopheles punctulatus	10256	10256	146157495	Contig	GCA_000956255.1	2015/03/19
Spodoptera frugiperda	10170	12379	391647540	Scaffold	GCA_002811805.1	2017/12/05
Dendroctonus ponderosae	10101	465763	261333785	Scaffold	GCA_000346045.2	2014/04/30
Trichomalopsis sarcophagae	9960	22350	236484274	Scaffold	GCA_002249905.1	2017/08/14
Cordylochernes scorpioides	9781	35397	2807113356	Scaffold	GCA_003123905.1	2018/05/14
Lepeophtheirus salmonis	9736	9736	790051552	Contig	GCA_000181255.2	2011/12/14
Pseudococcus longispinus	9727	9893	284990201	Scaffold	GCA_900064475.1	2016/03/29
Torymus auratus	9699	9797	410910949	Scaffold	GCA_900474315.1	2018/12/07
Locusta migratoria	9587	9587	5759798599	Contig	GCA_000516895.1	2014/01/08
Daphnia magna	9544	397658	129543483	Scaffold	GCA_001632505.1	2016/04/26
Leptopilina boulardi	9374	15354	283869132	Scaffold	GCA_003121605.1	2018/05/11
Clogmia albipunctata	9372	13081	256248749	Scaffold	GCA_001014945.1	2015/05/29
Dasypogon diadema	9253	28249	505154499	Scaffold	GCA_006980735.1	2019/07/15
Drosophila americana	9249	13952	166080438	Scaffold	GCA_001245305.1	2015/08/05
Papilio memnon	9195	4560862	240740566	Scaffold	GCA_003118415.2	2018/12/26
Anopheles cracens	9003	153896	326465827	Scaffold	GCA_002091845.1	2017/04/14
Timema cristinae	8919	55026842	955490247	Chromosome	GCA_002928295.1	2018/02/15
Bombyx mori	8860	8860	1389185	Contig	GCA_000325555.1	2012/12/18
Anopheles farauti	8763	8763	161383639	Contig	GCA_000956265.1	2015/03/19
Drosophila biarmipes	8758	15307	141896415	Scaffold	GCA_002222855.1	2017/07/20
Bactrocera oleae	8579	10503	334371070	Scaffold	GCA_001014625.1	2015/05/28
Dermatophagoides farinae	8538	186342	53545338	Scaffold	GCA_000767015.1	2014/10/15
Anopheles christyi	8461	9057	172658580	Scaffold	GCA_000349165.1	2013/04/08
Apis dorsata	8422	732052	230340171	Scaffold	GCF_000469605.1	2013/09/24
Leptopilina clavipes	8276	13761	255343917	Scaffold	GCA_001855655.1	2016/10/28
Trichonephila clavipes	7993	62959	2439301466	Scaffold	GCA_002102615.1	2017/04/20
Bactrocera tryoni	7868	69551	519005690	Scaffold	GCA_000695345.1	2014/05/21
Cecropterus lyciades	7706	558064	566834491	Scaffold	GCA_002930495.1	2018/02/27
Chironomus tentans	7697	57274	213462749	Scaffold	GCA_000786525.1	2014/11/25
Scaptodrosophila lebanonensis	7584	9710	187416727	Scaffold	GCA_001014445.1	2015/05/28
Lutzomyia longipalpis	7481	85093	154229266	Scaffold	GCA_000265325.1	2012/06/28
Dendroctonus ponderosae	7451	628732	252847629	Scaffold	GCF_000355655.1	2013/04/10
Timema cristinae	7446	312687	1042628579	Chromosome	GCA_002009905.3	2017/04/13
Megastigmus stigmatizans	7394	9143	577887951	Scaffold	GCA_900490015.1	2018/07/07
Drosophila albomicans	7241	8778	149768605	Scaffold	GCA_001014995.1	2015/05/29
Heliconius melpomene	7166	7166	66951251	Contig	GCA_000326025.1	2012/12/19
Chironomus riparius	7097	9868	154533842	Scaffold	GCA_001014505.1	2015/05/28
Drosophila simulans	7067	892727	141125704	Chromosome	GCA_000259045.1	2012/04/24
Drosophila montana	6978	40647	183585048	Scaffold	GCA_003086615.1	2018/05/03
Phortica variegata	6905	16703	155550413	Scaffold	GCA_001014415.1	2015/05/28
Diptera sp. S2_005_002R2	6817	6837	43768535	Scaffold	GCA_004026295.1	2019/01/16
Atta texana	6806	10773	286872587	Scaffold	GCA_004480015.1	2019/03/27
Trabutina mannipara	6630	6630	172235699	Contig	GCA_900080175.1	2016/07/22
Penaeus vannamei	6600	6600	96779606	Contig	GCA_003730335.1	2018/11/15
Spodoptera frugiperda	6276	53779	358047567	Scaffold	GCA_000753635.2	2014/11/25
Paracoccus marginatus	6250	6538	191208351	Scaffold	GCA_900065295.1	2016/03/29
Diabrotica virgifera	6238	489108	2418073815	Scaffold	GCF_003013835.1	2018/12/12
Lepidotrigona ventralis	6124	6644	333080613	Scaffold	GCA_002806875.1	2017/12/04
Paykullia maculata	5917	7609	422395093	Scaffold	GCA_003055125.1	2018/04/17
Phlebotomus papatasi	5795	27956	363767980	Scaffold	GCA_000262795.1	2012/05/16
Diuraphis noxia	5727	5727	399654885	Contig	GCA_001465515.1	2015/12/14
Pogonus chalceus	5623	66402	280876046	Chromosome	GCA_002278615.1	2017/09/15
Phormia regina	5563	7927	549932840	Scaffold	GCA_001735545.1	2016/09/19
Haematobia irritans	5359	23099	1143537531	Scaffold	GCA_003123925.1	2018/05/14
Aulacorthum solani	5312	6947	316098029	Scaffold	GCA_008528875.1	2019/09/18
Drosophila pseudoobscura	5275	6248	119047972	Scaffold	GCA_001014495.1	2015/05/28
Monomorium pharaonis	5266	5718	262528503	Scaffold	GCA_003575265.1	2018/09/19
Phormia regina	5106	7184	532827421	Scaffold	GCA_001735585.1	2016/09/19
Mayetiola destructor	5103	9692	146853489	Scaffold	GCA_001014435.1	2015/05/28
Tisbe holothuriae	5083	5742	276259850	Scaffold	GCA_900659605.1	2019/07/29
Torymus geranii	4982	4996	363976237	Scaffold	GCA_900474355.1	2018/07/06
Bactrocera dorsalis	4913	1206000	414984608	Scaffold	GCF_000789215.1	2015/01/28
Priacma serrata	4805	4805	12078284	Contig	GCA_000281835.1	2012/07/27
Anopheles koliensis	4659	4659	151110088	Contig	GCA_000956275.1	2015/03/19
Trionymus perrisii	4604	4626	237582517	Scaffold	GCA_900050545.1	2016/03/29
Drosophila melanica	4562	4572	174880844	Scaffold	GCA_004143785.1	2019/02/06
Asbolus verrucosus	4550	5726	249608069	Scaffold	GCA_004193795.1	2019/02/13
Drosophila suzukii	4545	4545	171590470	Contig	GCA_000326985.1	2012/12/19
Leptopilina heterotoma	4476	5051	497698477	Scaffold	GCA_009026005.1	2019/10/21
Calopteryx splendens	4472	422252	1628352544	Scaffold	GCA_002093875.1	2017/04/17
Leptopilina heterotoma	4420	5024	495746151	Scaffold	GCA_009025955.1	2019/10/21
Lednia tumana	4212	4685	304502267	Scaffold	GCA_003287335.1	2018/07/03
Aptinothrips rufus	4094	4094	339926289	Contig	GCA_902196195.1	2019/08/08
Mengenilla moldrzyki	4038	4038	155727465	Contig	GCA_000281935.1	2012/07/27
Drosophila bipectinata	3968	6620	120630095	Scaffold	GCA_002222825.1	2017/07/20
Drosophila nasuta	3966	5692	137224182	Scaffold	GCA_002222885.1	2017/07/20
Glossina morsitans	3909	20491	348062779	Scaffold	GCA_001014515.1	2015/05/28
Timema podura	3875	4090	1105092765	Scaffold	GCA_902151475.1	2019/07/12
Drosophila albomicans	3826	23589	253560284	Scaffold	GCA_000298335.1	2012/09/20
Drosophila neonasuta	3670	4802	131273702	Scaffold	GCA_005889595.1	2019/05/29
Cecidostiba semifascia	3407	6094	287222439	Scaffold	GCA_900474235.1	2018/07/06
Zaprionus indianus	3365	4855	123674749	Scaffold	GCA_001752445.1	2016/10/04
Achipteria coleoptrata	3360	7481	88443889	Scaffold	GCA_000988765.1	2015/05/06
Mochlonyx cinctipes	3304	6407	441264227	Scaffold	GCA_001014845.1	2015/05/28
Megaselia abdita	3270	4558	412270594	Scaffold	GCA_001015175.1	2015/05/29
Acartia tonsa	3244	3610	989163677	Scaffold	GCA_900241095.1	2018/01/29
Heliconius melpomene	3152	3719	290420786	Scaffold	GCA_001486105.1	2016/01/05
Drosophila robusta	3141	3145	179543486	Scaffold	GCA_004143875.1	2019/02/06
Hypochthonius rufulus	3126	4212	172365132	Scaffold	GCA_000988845.1	2015/05/06
Heliconius pardalinus	3091	3940	277374261	Scaffold	GCA_001486625.1	2016/01/05
Ixodes ricinus	3059	3065	514506549	Scaffold	GCA_000973045.2	2016/08/24
Heliconius pardalinus	3030	3847	279582889	Scaffold	GCA_001486765.1	2016/01/05
Heliconius pardalinus	3019	3899	281080160	Scaffold	GCA_001486325.1	2016/01/05
Anopheles maculatus	2984	3841	141894015	Scaffold	GCA_000473185.1	2013/10/21
Ixodes scapularis	2942	76228	1765382190	Scaffold	GCF_000208615.1	2011/04/22
Anopheles gambiae	2909	6406	220394761	Scaffold	GCA_001014525.1	2015/05/28
Leptotrombidium deliense	2903	2941	117319359	Scaffold	GCA_003675905.2	2019/09/11
Heliconius pardalinus	2860	4683	293608641	Scaffold	GCA_001486225.1	2016/01/05
Themira minor	2825	3571	99885510	Scaffold	GCA_001014575.1	2015/05/28
Drosophila takahashii	2805	4126	124362062	Scaffold	GCA_002223445.1	2017/07/20
Busseola fusca	2742	3310	492902852	Scaffold	GCA_007844875.1	2019/08/05
Heliconius ethilla	2498	3262	266946155	Scaffold	GCA_001485905.1	2016/01/05
Teleopsis dalmanni	2493	3159	469483437	Scaffold	GCA_001017525.1	2015/06/01
Heliconius ethilla	2491	3187	264996679	Scaffold	GCA_001485845.1	2016/01/05
Heliconius ethilla	2412	3141	267551150	Scaffold	GCA_001485825.1	2016/01/05
Machilis hrabei	2401	27244	2144507099	Scaffold	GCA_003456935.1	2018/09/14
Heliconius ethilla	2400	4182	282526854	Scaffold	GCA_001485985.1	2016/01/05
Armadillidium vulgare	2396	6396	15703284	Scaffold	GCA_001887335.1	2016/11/29
Heliconius ismenius	2386	4281	259837422	Scaffold	GCA_001485965.1	2016/01/05
Anopheles nili	2278	2577	98320046	Scaffold	GCA_000439205.1	2013/07/22
Plutella xylostella	2273	2273	186028209	Contig	GCA_000325945.1	2012/12/19
Heliconius hecale	2245	4532	78530580	Scaffold	GCA_001486065.1	2016/01/05
Drosophila simulans	2223	2223	85059129	Contig	GCA_000180855.1	2010/11/19
Bombyx mori	2207	2207	381900113	Contig	GCA_000181175.1	2010/11/19
Drosophila simulans	2196	2196	104910145	Scaffold	GCA_000180955.1	2010/11/19
Heliconius cydno	2167	2548	282335894	Scaffold	GCA_900068235.1	2018/05/22
Ephydra gracilis	2117	11309	410872512	Scaffold	GCA_001014675.1	2015/05/28
Sericostoma sp. HW-2014	2112	3065	1015727762	Scaffold	GCA_003003475.1	2018/03/15
Apocyclops royi	2108	3257	262264339	Scaffold	GCA_900607525.1	2019/02/27
Chaoborus trivitattus	2040	4087	269281158	Scaffold	GCA_001014815.1	2015/05/28
Drosophila simulans	2039	2039	84749630	Contig	GCA_000180875.1	2010/11/19
Chilo suppressalis	2019	2019	314170746	Contig	GCA_000636095.1	2014/04/23
Hypothenemus hampei	1979	39211	151272366	Scaffold	GCA_001012855.1	2015/05/22
Nasonia giraulti	1971	759431	283606953	Scaffold	GCA_000004775.1	2010/01/28
Heliconius melpomene	1927	2216	322345282	Scaffold	GCA_900068665.1	2018/05/22
Sarcophaga bullata	1894	2219	396224597	Scaffold	GCA_001017455.1	2015/06/01
Heliconius melpomene	1882	2178	318072104	Scaffold	GCA_900068505.1	2018/05/22
Heliconius numata	1879	2120	364327908	Scaffold	GCA_900068715.1	2017/04/26
Nasonia longicornis	1876	758407	285726340	Scaffold	GCA_000004795.1	2010/01/28
Heliconius heurippa	1849	2464	309419125	Scaffold	GCA_900067975.1	2017/04/26
Loxosceles reclusa	1834	63237	3262478678	Scaffold	GCA_001188405.1	2015/07/29
Liriomyza trifolii	1816	2213	69698627	Scaffold	GCA_001014935.1	2015/05/29
Xenocatantops brachycerus	1799	1799	41642132	Contig	GCA_900249655.1	2018/05/18
Penaeus monodon	1782	1981	1632388725	Scaffold	GCA_007890405.1	2019/08/07
Cirrula hians	1781	2483	399685866	Scaffold	GCA_001015075.1	2015/05/29
Holcocephala fusca	1778	5217	516230974	Scaffold	GCA_001015215.1	2015/05/29
Heliconius heurippa	1758	2267	331887318	Scaffold	GCA_900068465.1	2017/04/26
Drosophila simulans	1723	1723	78512494	Scaffold	GCA_000180935.1	2010/11/19
Heliconius melpomene	1722	2186	322277005	Scaffold	GCA_900068615.1	2018/05/22
Heliconius timareta	1654	1991	303646369	Scaffold	GCA_900068125.1	2018/05/22
Caligus rogercresseyi	1650	1650	398147594	Contig	GCA_001005385.1	2015/05/08
Caligus rogercresseyi	1648	1648	361738000	Contig	GCA_001005125.1	2015/05/08
Drosophila simulans	1622	1622	91034908	Contig	GCA_000180975.1	2010/11/19
Steganacarus magnus	1617	2474	113565242	Scaffold	GCA_000988885.1	2015/05/06
Lucilia sericata	1613	4679	319935455	Scaffold	GCA_001014835.1	2015/05/28
Heliconius pardalinus	1590	2036	381577504	Scaffold	GCA_900068005.1	2017/06/07
Heliconius timareta	1565	1869	313592954	Scaffold	GCA_900068095.1	2018/05/22
Heliconius elevatus	1512	1944	364783738	Scaffold	GCA_900068365.1	2017/04/26
Heliconius hecale	1502	1872	295736468	Scaffold	GCA_900068425.1	2017/05/03
Heliconius hecale	1491	1841	293067186	Scaffold	GCA_900068435.1	2017/05/03
Heliconius timareta	1486	2019	319429628	Scaffold	GCA_900068805.1	2018/05/22
Sphyracephala brevicornis	1477	2517	315521093	Scaffold	GCA_001015235.1	2015/05/29
Semibalanus balanoides	1475	1475	101275509	Contig	GCA_003709985.1	2018/11/02
Heliconius elevatus	1471	1893	351694790	Scaffold	GCA_900068375.1	2017/04/26
Heliconius timareta	1465	1982	308987606	Scaffold	GCA_900068785.1	2018/05/22
Piezodorus guildinii	1459	1494	3179848	Scaffold	GCA_000786065.1	2014/11/21
Heliconius hecale	1459	1779	286042898	Scaffold	GCA_900068415.1	2017/04/26
Heliconius timareta	1424	1669	303594633	Scaffold	GCA_900068015.1	2018/05/22
Heliconius elevatus	1419	1814	355087834	Scaffold	GCA_900068355.1	2017/04/26
Trichoceridae sp. BV-2014	1395	1520	41711596	Scaffold	GCA_001014425.1	2015/05/28
Heliconius melpomene	1369	1716	312421576	Scaffold	GCA_900068025.1	2018/05/22
Drosophila simulans	1351	1351	65035605	Contig	GCA_000180915.1	2010/11/19
Heliconius melpomene	1312	1644	322260410	Scaffold	GCA_900068605.1	2018/05/22
Heliconius hecale	1308	1563	274791475	Scaffold	GCA_900068445.1	2017/05/03
Musca domestica	1288	2491	522254980	Scaffold	GCA_002191195.1	2017/06/12
Heliconius cydno	1278	1477	256832856	Scaffold	GCA_900068275.1	2018/05/22
Heliconius elevatus	1246	1416	362124033	Scaffold	GCA_900068385.1	2017/04/26
Heliconius pachinus	1241	1698	279264790	Scaffold	GCA_900068735.1	2017/04/26
Platynothrus peltifer	1236	1570	100532934	Scaffold	GCA_000988905.1	2015/05/06
Heliconius elevatus	1224	1364	346970365	Scaffold	GCA_900068395.1	2017/04/26
Heliconius elevatus	1222	1374	349544513	Scaffold	GCA_900067965.1	2017/04/26
Heliconius melpomene	1218	1441	312718248	Scaffold	GCA_900068075.1	2018/05/22
Laparus doris	1215	1321	261728519	Scaffold	GCA_900068325.1	2017/04/26
Heliconius pardalinus	1213	1354	361530140	Scaffold	GCA_900068745.1	2017/06/07
Hermetia illucens	1212	3532	890457210	Scaffold	GCA_001014895.1	2015/05/28
Heliconius melpomene	1200	1481	305561165	Scaffold	GCA_900068595.1	2018/05/22
Heliconius pardalinus	1195	1347	351728632	Scaffold	GCA_900068765.1	2017/06/07
Heliconius melpomene	1191	1407	298712842	Scaffold	GCA_900067955.1	2018/05/22
Procambarus virginalis	1187	39275	3290470695	Scaffold	GCA_002838885.1	2017/12/13
Heliconius melpomene	1176	1434	284267427	Scaffold	GCA_900068135.1	2018/05/22
Heliconius melpomene	1173	1388	322519903	Scaffold	GCA_900068105.1	2018/05/22
Heliconius cydno	1162	1328	264760125	Scaffold	GCA_900068315.1	2018/05/22
Heliconius melpomene	1160	1401	286040137	Scaffold	GCA_900068185.1	2018/05/22
Heliconius elevatus	1160	1376	369905417	Scaffold	GCA_900068405.1	2017/06/07
Heliconius pardalinus	1157	1267	352866884	Scaffold	GCA_900068755.1	2017/06/07
Neruda aoede	1154	1388	337370441	Scaffold	GCA_900068225.1	2017/04/26
Heliconius melpomene	1154	1275	320407358	Scaffold	GCA_900068175.1	2018/05/22
Pandalus platyceros	1138	1512	146260629	Scaffold	GCA_005815305.1	2019/05/29
